Total Tasks,UAV Battery Avg,UAV Available,Avg ComputeCost (All),Avg ComputeCost (UAV),Avg ComputeCost (EC),Avg Tasks (UAV),Avg Tasks (EC),Time Delay,TotalTaskUAV (%),TotalTaskEC (%)
0,100.0,27,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
10,99.3,27,0.61,0.57,0.9,0.33,0.33,25.84,90.0,10.0
20,98.69,27,1.26,1.08,2.9,0.63,1.0,54.36,85.0,15.0
30,98.3,27,2.04,1.4,7.8,0.81,2.67,85.03,73.33,26.67
40,97.79,27,2.79,1.83,11.5,1.04,4.0,112.8,70.0,30.0
50,97.1,27,3.4,2.4,12.4,1.37,4.33,138.26,74.0,26.0
60,96.87,27,4.24,2.59,19.1,1.48,6.67,169.16,66.67,33.33
70,96.41,27,4.98,2.97,23.0,1.7,8.0,199.78,65.71,34.29
80,96.11,27,5.58,3.23,26.7,1.93,9.33,229.68,65.0,35.0
90,95.65,27,6.13,3.62,28.7,2.22,10.0,258.73,66.67,33.33
100,95.24,27,6.73,3.97,31.6,2.48,11.0,287.88,67.0,33.0
110,94.85,27,7.43,4.3,35.6,2.7,12.33,317.95,66.36,33.64
120,94.19,27,8.03,4.86,36.6,3.04,12.67,344.74,68.33,31.67
130,93.62,27,8.75,5.33,39.5,3.3,13.67,372.29,68.46,31.54
140,92.92,27,9.37,5.91,40.5,3.63,14.0,399.39,70.0,30.0
150,92.34,27,10.1,6.4,43.4,3.89,15.0,427.09,70.0,30.0
160,92.16,27,10.92,6.55,50.2,4.0,17.33,459.12,67.5,32.5
170,91.64,27,11.59,6.98,53.1,4.26,18.33,487.69,67.65,32.35
180,91.1,27,12.09,7.43,54.0,4.59,18.67,514.27,68.89,31.11
190,90.58,27,12.79,7.88,57.0,4.85,19.67,542.07,68.95,31.05
200,90.09,27,13.44,8.29,59.8,5.11,20.67,569.97,69.0,31.0
210,89.55,27,14.05,8.75,61.7,5.41,21.33,597.66,69.52,30.48
220,89.05,27,14.7,9.17,64.5,5.67,22.33,626.26,69.55,30.45
230,88.59,27,15.43,9.56,68.3,5.89,23.67,653.81,69.13,30.87
240,88.33,27,16.2,9.77,74.1,6.04,25.67,685.49,67.92,32.08
250,87.79,27,16.8,10.23,75.9,6.33,26.33,711.62,68.4,31.6
260,87.27,27,17.38,10.67,77.8,6.63,27.0,739.42,68.85,31.15
270,86.84,27,18.08,11.03,81.6,6.85,28.33,768.92,68.52,31.48
280,86.54,27,18.79,11.27,86.5,7.04,30.0,800.61,67.86,32.14
290,86.22,27,19.33,11.54,89.4,7.3,31.0,830.11,67.93,32.07
300,85.83,27,20.01,11.87,93.2,7.52,32.33,858.44,67.67,32.33
310,85.24,27,20.62,12.36,95.0,7.81,33.0,885.52,68.06,31.94
320,84.56,27,21.22,12.91,96.0,8.15,33.33,912.16,68.75,31.25
330,84.18,27,22.0,13.24,100.8,8.33,35.0,942.35,68.18,31.82
340,83.93,27,22.75,13.45,106.4,8.48,37.0,972.09,67.35,32.65
350,83.5,27,23.54,13.81,111.1,8.67,38.67,1000.73,66.86,33.14
360,82.78,27,24.19,14.42,112.1,9.0,39.0,1028.26,67.5,32.5
370,82.31,27,24.83,14.81,115.0,9.26,40.0,1057.02,67.57,32.43
380,81.84,27,25.58,15.21,118.9,9.48,41.33,1086.19,67.37,32.63
390,81.56,27,26.34,15.44,124.5,9.63,43.33,1116.08,66.67,33.33
400,81.13,27,26.97,15.81,127.4,9.89,44.33,1144.47,66.75,33.25
410,80.7,27,27.67,16.17,131.2,10.11,45.67,1173.45,66.59,33.41
420,80.04,27,28.26,16.72,132.1,10.44,46.0,1199.16,67.14,32.86
430,79.73,27,29.03,16.97,137.6,10.59,48.0,1228.37,66.51,33.49
440,79.31,27,29.72,17.33,141.3,10.81,49.33,1256.21,66.36,33.64
450,78.86,27,30.25,17.71,143.1,11.11,50.0,1283.94,66.67,33.33
460,78.37,27,30.92,18.13,146.1,11.37,51.0,1313.76,66.74,33.26
470,77.82,27,31.44,18.59,147.1,11.7,51.33,1341.95,67.23,32.77
480,77.47,27,32.15,18.87,151.7,11.89,53.0,1370.95,66.88,33.12
490,76.89,27,32.78,19.35,153.6,12.19,53.67,1398.24,67.14,32.86
500,76.58,27,33.5,19.61,158.5,12.37,55.33,1429.64,66.8,33.2
510,76.06,27,34.06,20.04,160.3,12.67,56.0,1457.06,67.06,32.94
520,75.46,27,34.79,20.53,163.1,12.93,57.0,1485.23,67.12,32.88
530,74.93,27,35.48,20.98,166.0,13.19,58.0,1512.73,67.17,32.83
540,74.55,27,36.24,21.3,170.7,13.37,59.67,1541.4,66.85,33.15
550,74.01,27,36.92,21.75,173.4,13.63,60.67,1567.55,66.91,33.09
560,73.48,27,37.61,22.2,176.3,13.89,61.67,1595.63,66.96,33.04
