Total Tasks,UAV Battery Avg,UAV Available,Avg ComputeCost (All),Avg ComputeCost (UAV),Avg ComputeCost (EC),Avg Tasks (UAV),Avg Tasks (EC),Time Delay,TotalTaskUAV (%),TotalTaskEC (%)
0,100.0,27,0.0,0.0,0.0,0.0,0.0,0.0,,
10,99.73,27,0.54,0.19,3.77,0.11,2.33,27.35,10.0,90.0
20,98.59,27,1.22,0.94,3.77,0.48,2.33,57.58,10.0,90.0
30,97.66,27,1.84,1.63,3.77,0.85,2.33,84.12,10.0,90.0
40,96.8,27,2.44,2.29,3.77,1.22,2.33,110.4,22.5,77.5
50,95.49,27,3.21,3.15,3.77,1.59,2.33,140.04,30.0,70.0
60,94.44,27,3.85,3.86,3.77,1.96,2.33,168.7,35.0,65.0
70,93.47,27,4.46,4.54,3.77,2.33,2.33,197.83,38.57,61.43
80,92.19,27,5.2,5.36,3.77,2.7,2.33,228.78,37.5,62.5
90,91.14,27,5.86,6.1,3.77,3.07,2.33,256.71,36.67,63.33
100,88.01,27,6.54,6.85,3.77,3.44,2.33,286.63,36.0,64.0
110,86.09,27,7.13,7.5,3.77,3.81,2.33,315.29,38.18,61.82
120,85.94,27,7.86,8.31,3.77,4.19,2.33,343.12,40.0,60.0
130,84.84,27,8.55,9.09,3.77,4.56,2.33,371.05,41.54,58.46
140,83.4,27,9.39,10.01,3.77,4.93,2.33,401.4,42.86,57.14
150,83.26,27,10.06,10.76,3.77,5.3,2.33,431.08,42.0,58.0
160,83.03,27,10.77,11.55,3.77,5.67,2.33,460.89,41.25,58.75
170,82.06,27,11.4,12.25,3.77,6.04,2.33,487.99,40.59,59.41
180,81.44,27,12.1,13.02,3.77,6.41,2.33,516.79,41.67,58.33
190,80.93,27,12.76,13.76,3.77,6.78,2.33,544.07,42.63,57.37
200,79.99,27,13.36,14.42,3.77,7.15,2.33,571.86,43.5,56.5
210,79.33,27,13.99,15.13,3.77,7.52,2.33,599.46,44.29,55.71
220,78.52,27,14.74,15.96,3.77,7.89,2.33,630.64,43.64,56.36
230,74.37,27,15.52,16.82,3.77,8.26,2.33,659.84,43.04,56.96
240,74.55,27,16.08,17.45,3.77,8.63,2.33,686.68,42.5,57.5
250,73.44,27,16.75,18.19,3.77,9.0,2.33,716.12,43.2,56.8
260,72.48,27,17.34,18.85,3.77,9.37,2.33,744.92,43.85,56.15
270,71.19,27,18.1,19.69,3.77,9.74,2.33,774.05,44.44,55.56
280,69.93,27,18.83,20.5,3.77,10.11,2.33,803.78,45.0,55.0
290,69.21,27,19.34,21.07,3.77,10.48,2.33,829.82,44.48,55.52
300,68.05,27,20.08,21.89,3.77,10.85,2.33,858.42,44.0,56.0
310,66.84,27,20.78,22.67,3.77,11.22,2.33,889.77,43.55,56.45
320,65.9,27,21.36,23.31,3.77,11.59,2.33,918.58,44.06,55.94
330,64.71,27,22.05,24.08,3.77,11.96,2.33,948.8,44.55,55.45
340,63.67,27,22.72,24.83,3.77,12.33,2.33,976.76,45.0,55.0
350,62.69,27,23.36,25.54,3.77,12.7,2.33,1006.41,45.43,54.57
360,62.04,27,23.8,26.03,3.77,13.07,2.33,1035.29,45.0,55.0
370,61.06,27,24.41,26.7,3.77,13.44,2.33,1063.91,44.59,55.41
380,60.27,27,24.93,27.28,3.77,13.81,2.33,1092.39,44.21,55.79
390,59.24,27,25.57,27.99,3.77,14.19,2.33,1121.08,44.62,55.38
400,57.96,27,26.34,28.84,3.77,14.56,2.33,1151.08,45.0,55.0
410,56.76,27,27.08,29.67,3.77,14.93,2.33,1179.99,45.37,54.63
420,55.96,27,27.63,30.28,3.77,15.3,2.33,1207.44,45.71,54.29
