Total Tasks,UAV Battery Avg,UAV Available,Avg ComputeCost (All),Avg ComputeCost (UAV),Avg ComputeCost (EC),Avg Tasks (UAV),Avg Tasks (EC),Time Delay,TotalTaskUAV (%),TotalTaskEC (%)
0,100.0,27,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,20.0
10,99.29,27,0.65,0.31,3.7,0.19,1.67,27.14,30.0,70.0
20,99.05,27,1.27,0.93,4.37,0.52,2.0,53.98,50.0,50.0
30,98.85,27,1.84,1.56,4.37,0.89,2.0,81.65,60.0,40.0
40,97.33,27,2.48,2.27,4.37,1.26,2.0,110.64,65.0,35.0
50,96.69,27,3.19,3.06,4.37,1.63,2.0,139.39,68.0,32.0
60,96.96,27,3.69,3.61,4.37,2.0,2.0,166.35,70.0,30.0
70,95.92,27,4.39,4.4,4.37,2.37,2.0,194.25,71.43,28.57
80,94.66,27,5.12,5.21,4.37,2.74,2.0,224.5,72.5,27.5
90,94.53,27,5.72,5.87,4.37,3.11,2.0,250.86,73.33,26.67
100,93.39,27,6.47,6.7,4.37,3.48,2.0,282.98,74.0,26.0
110,92.75,27,7.03,7.33,4.37,3.85,2.0,308.4,74.55,25.45
120,92.46,27,7.66,8.03,4.37,4.22,2.0,336.08,75.0,25.0
130,90.75,27,8.16,8.58,4.37,4.59,2.0,363.0,75.38,24.62
140,90.2,27,8.81,9.3,4.37,4.96,2.0,392.58,75.71,24.29
150,90.14,27,9.35,9.9,4.37,5.33,2.0,420.82,76.0,24.0
160,89.28,27,10.09,10.73,4.37,5.7,2.0,452.25,76.25,23.75
170,89.31,27,10.76,11.47,4.37,6.07,2.0,480.04,76.47,23.53
180,88.06,27,11.42,12.2,4.37,6.44,2.0,508.42,76.67,23.33
190,87.17,27,12.11,12.97,4.37,6.81,2.0,535.86,76.84,23.16
200,87.97,27,12.82,13.76,4.37,7.19,2.0,566.13,77.0,23.0
210,86.48,27,13.44,14.45,4.37,7.56,2.0,593.4,77.14,22.86
220,85.99,27,14.14,15.22,4.37,7.93,2.0,622.04,77.27,22.73
230,84.61,27,14.79,15.95,4.37,8.3,2.0,651.07,77.39,22.61
240,84.41,27,15.49,16.73,4.37,8.67,2.0,682.56,77.5,22.5
250,84.1,27,16.28,17.6,4.37,9.04,2.0,714.47,77.6,22.4
260,82.83,27,16.85,18.24,4.37,9.41,2.0,742.45,77.69,22.31
270,82.95,27,17.38,18.83,4.37,9.78,2.0,768.45,77.78,22.22
280,81.83,27,18.21,19.75,4.37,10.15,2.0,798.69,77.86,22.14
290,81.34,27,18.76,20.36,4.37,10.52,2.0,825.1,77.93,22.07
300,80.55,27,19.24,20.89,4.37,10.89,2.0,853.42,78.0,22.0
