Total Tasks,UAV Battery Avg,UAV Available,Avg ComputeCost (All),Avg ComputeCost (UAV),Avg ComputeCost (EC),Avg Tasks (UAV),Avg Tasks (EC),Time Delay,TotalTaskUAV (%),TotalTaskEC (%)
0,100.00,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,98.85,27,0.70,0.77,0.00,0.37,0.00,28.68,100.00,0.00
20,97.13,27,1.35,1.24,2.30,0.59,1.33,56.55,80.00,20.00
30,95.94,27,2.12,1.96,3.60,0.89,2.00,87.63,80.00,20.00
40,94.80,27,2.82,2.69,4.07,1.22,2.33,119.46,82.50,17.50
50,93.66,27,3.53,3.42,4.53,1.56,2.67,149.92,84.00,16.00
60,92.98,27,4.18,4.11,4.83,1.89,3.00,178.45,85.00,15.00
70,92.09,27,4.84,4.74,5.73,2.22,3.33,206.72,85.71,14.29
80,91.02,27,5.49,5.43,6.03,2.56,3.67,235.42,86.25,13.75
90,90.51,27,6.12,6.13,6.03,2.93,3.67,263.47,87.78,12.22
100,89.95,27,6.66,6.60,7.23,3.22,4.33,292.88,87.00,13.00
110,89.44,27,7.27,7.13,8.50,3.48,5.33,320.28,85.45,14.55
120,88.70,27,7.90,7.62,10.40,3.70,6.67,349.12,83.33,16.67
130,87.81,27,8.55,8.27,11.07,4.04,7.00,376.86,83.85,16.15
140,87.10,27,9.19,8.76,13.10,4.30,8.00,404.92,82.86,17.14
150,86.31,27,9.77,9.32,13.77,4.63,8.33,433.35,83.33,16.67
160,85.38,27,10.47,10.00,14.67,4.96,8.67,460.48,83.75,16.25
170,84.73,27,11.07,10.51,16.07,5.22,9.67,485.66,82.94,17.06
180,83.83,27,11.71,11.15,16.73,5.56,10.00,512.71,83.33,16.67
190,82.83,27,12.33,11.84,16.73,5.93,10.00,541.61,84.21,15.79
200,81.61,27,13.05,12.60,17.03,6.26,10.33,572.68,84.50,15.50
210,80.85,27,13.63,13.12,18.17,6.56,11.00,601.68,84.29,15.71
220,80.15,27,14.29,13.62,20.30,6.81,12.00,630.50,83.64,16.36
230,79.59,27,14.79,14.06,21.40,7.11,12.67,657.48,83.48,16.52
240,79.03,27,15.31,14.49,22.77,7.41,13.33,685.19,83.33,16.67
250,77.89,27,15.99,15.23,22.77,7.78,13.33,715.89,84.00,16.00
260,76.93,27,16.60,15.91,22.77,8.15,13.33,743.28,84.62,15.38
270,76.20,27,17.24,16.45,24.30,8.44,14.00,770.55,84.44,15.56
