Total Tasks,UAV Battery Avg,UAV Available,Avg ComputeCost (All),Avg ComputeCost (UAV),Avg ComputeCost (EC),Avg Tasks (UAV),Avg Tasks (EC),Time Delay,TotalTaskUAV (%),TotalTaskEC (%)
0,100.00,27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,99.30,27,0.52,0.50,0.67,0.33,0.33,28.29,90.00,10.00
20,98.44,27,1.09,1.14,0.67,0.70,0.33,56.02,95.00,5.00
30,97.38,27,1.80,1.82,1.63,1.00,1.00,85.00,90.00,10.00
40,96.41,27,2.50,2.49,2.63,1.33,1.33,113.62,90.00,10.00
50,95.45,27,3.11,3.17,2.63,1.70,1.33,141.53,92.00,8.00
60,94.55,27,3.78,3.78,3.77,2.00,2.00,171.11,90.00,10.00
70,93.82,27,4.34,4.33,4.40,2.33,2.33,197.45,90.00,10.00
80,93.02,27,4.89,4.94,4.40,2.70,2.33,225.13,91.25,8.75
90,92.33,27,5.49,5.43,5.97,3.00,3.00,253.72,90.00,10.00
100,91.31,27,6.19,6.14,6.63,3.33,3.33,281.60,90.00,10.00
110,90.22,27,6.87,6.90,6.63,3.70,3.33,310.61,90.91,9.09
120,89.26,27,7.57,7.55,7.77,4.00,4.00,338.88,90.00,10.00
130,88.18,27,8.29,8.24,8.77,4.33,4.33,370.53,90.00,10.00
140,87.37,27,8.86,8.87,8.77,4.70,4.33,396.43,90.71,9.29
150,86.44,27,9.57,9.52,9.97,5.00,5.00,424.18,90.00,10.00
160,85.52,27,10.16,10.14,10.27,5.33,5.33,453.80,90.00,10.00
170,84.54,27,10.77,10.83,10.27,5.70,5.33,482.76,90.59,9.41
180,83.81,27,11.37,11.37,11.40,6.00,6.00,509.89,90.00,10.00
190,82.86,27,11.98,12.01,11.70,6.33,6.33,538.84,90.00,10.00
200,82.10,27,12.51,12.60,11.70,6.70,6.33,565.23,90.50,9.50
210,81.11,27,13.26,13.26,13.27,7.00,7.00,593.23,90.00,10.00
220,80.37,27,13.78,13.78,13.73,7.33,7.33,622.18,90.00,10.00
230,79.41,27,14.39,14.46,13.73,7.70,7.33,650.17,90.43,9.57
240,78.29,27,15.18,15.16,15.40,8.00,8.00,680.50,90.00,10.00
250,77.49,27,15.77,15.71,16.30,8.33,8.33,710.04,90.00,10.00
260,76.61,27,16.34,16.35,16.30,8.70,8.33,738.57,90.38,9.62
270,75.96,27,16.93,16.85,17.63,9.00,9.00,765.88,90.00,10.00
280,74.58,27,17.75,17.69,18.30,9.33,9.33,798.84,90.00,10.00
290,73.39,27,18.49,18.51,18.30,9.70,9.33,826.95,90.34,9.66
300,72.53,27,19.22,19.13,20.10,10.00,10.00,853.59,90.00,10.00
310,71.35,27,20.02,19.90,21.10,10.33,10.33,884.63,90.00,10.00
320,70.61,27,20.53,20.47,21.10,10.70,10.33,912.50,90.31,9.69
330,69.77,27,21.18,21.04,22.43,11.00,11.00,940.63,90.00,10.00
340,68.97,27,21.74,21.63,22.73,11.33,11.33,968.83,90.00,10.00
350,67.98,27,22.37,22.33,22.73,11.70,11.33,996.28,90.29,9.71
360,67.18,27,22.97,22.86,24.03,12.00,12.00,1025.68,90.00,10.00
370,66.54,27,23.51,23.38,24.67,12.33,12.33,1050.38,90.00,10.00
380,65.33,27,24.23,24.19,24.67,12.70,12.33,1079.52,90.26,9.74
390,64.50,27,24.87,24.79,25.60,13.00,13.00,1105.90,90.00,10.00
400,63.99,27,25.33,25.23,26.27,13.33,13.33,1132.15,90.00,10.00
410,63.24,27,25.87,25.82,26.27,13.70,13.33,1159.02,90.24,9.76
420,62.22,27,26.57,26.50,27.20,14.00,14.00,1187.49,90.00,10.00
430,61.36,27,27.22,27.12,28.10,14.33,14.33,1215.17,90.00,10.00
440,60.13,27,27.93,27.91,28.10,14.70,14.33,1244.95,90.23,9.77
450,59.30,27,28.59,28.50,29.40,15.00,15.00,1271.96,90.00,10.00
460,58.54,27,29.18,29.08,30.07,15.33,15.33,1299.53,90.00,10.00
470,57.59,27,29.80,29.77,30.07,15.70,15.33,1327.81,90.21,9.79
480,56.53,27,30.58,30.46,31.73,16.00,16.00,1358.43,90.00,10.00
490,55.84,27,31.12,31.00,32.20,16.33,16.33,1384.86,90.00,10.00
500,55.01,27,31.69,31.63,32.20,16.70,16.33,1412.53,90.20,9.80
510,54.19,27,32.30,32.22,32.97,17.00,17.00,1440.03,90.00,10.00
520,53.53,27,32.83,32.74,33.60,17.33,17.33,1465.45,90.00,10.00
530,52.77,27,33.36,33.33,33.60,17.70,17.33,1492.04,90.19,9.81
540,51.63,27,34.12,34.05,34.73,18.00,18.00,1522.39,90.00,10.00
550,50.73,27,34.78,34.73,35.20,18.33,18.33,1548.00,90.00,10.00
560,49.63,27,35.46,35.49,35.20,18.70,18.33,1577.12,90.18,9.82
570,48.66,27,36.23,36.13,37.10,19.00,19.00,1607.22,90.00,10.00
580,47.92,27,36.83,36.69,38.10,19.33,19.33,1636.56,90.00,10.00
590,47.09,27,37.39,37.31,38.10,19.70,19.33,1663.39,90.17,9.83
600,46.37,27,37.95,37.83,39.07,20.00,20.00,1690.57,90.00,10.00
610,45.65,27,38.56,38.40,39.97,20.33,20.33,1717.98,90.00,10.00
620,44.49,27,39.23,39.14,39.97,20.70,20.33,1748.45,90.16,9.84
630,43.78,27,39.79,39.62,41.27,21.00,21.00,1777.10,90.00,10.00
640,42.84,27,40.46,40.30,41.90,21.33,21.33,1803.51,90.00,10.00
650,42.04,27,41.01,40.91,41.90,21.70,21.33,1831.18,90.15,9.85
660,41.07,27,41.64,41.54,42.50,22.00,22.00,1860.90,90.00,10.00
670,40.01,27,42.35,42.26,43.17,22.33,22.33,1890.81,90.00,10.00
680,38.87,27,43.05,43.03,43.17,22.70,22.33,1919.29,90.15,9.85
690,37.99,27,43.73,43.65,44.47,23.00,23.00,1946.32,90.00,10.00
700,37.07,27,44.36,44.31,44.77,23.33,23.33,1974.20,90.00,10.00
710,35.85,27,45.09,45.12,44.77,23.70,23.33,2003.23,90.14,9.86
720,34.79,27,45.87,45.81,46.33,24.00,24.00,2032.99,90.00,10.00
730,34.02,27,46.51,46.41,47.33,24.33,24.33,2059.86,90.00,10.00
740,32.65,27,47.28,47.27,47.33,24.70,24.33,2090.60,90.14,9.86
750,31.95,27,47.90,47.81,48.67,25.00,25.00,2116.72,90.00,10.00
760,30.87,27,48.65,48.53,49.67,25.33,25.33,2145.70,90.00,10.00
770,29.62,27,49.36,49.32,49.67,25.70,25.33,2176.95,90.13,9.87
780,28.79,27,49.94,49.87,50.63,26.00,26.00,2206.41,90.00,10.00
790,27.55,27,50.71,50.64,51.30,26.33,26.33,2238.09,90.00,10.00
800,26.55,27,51.32,51.32,51.30,26.70,26.33,2267.82,90.12,9.88
810,25.72,27,51.94,51.90,52.27,27.00,27.00,2295.12,90.00,10.00
820,24.50,27,52.72,52.70,52.93,27.33,27.33,2325.10,90.00,10.00
830,23.26,27,53.47,53.53,52.93,27.70,27.33,2354.87,90.12,9.88
840,22.17,26,54.20,54.27,53.60,28.04,27.67,2382.81,90.12,9.88
850,21.35,26,54.79,54.93,53.60,28.41,27.67,2408.80,90.24,9.76
860,20.51,26,55.50,55.53,55.27,28.70,28.33,2437.00,90.12,9.88
870,19.61,26,56.13,56.17,55.73,29.04,28.67,2464.53,90.11,9.89
880,18.54,26,56.83,56.95,55.73,29.41,28.67,2491.31,90.23,9.77
890,17.91,26,57.42,57.43,57.40,29.70,29.33,2519.20,90.11,9.89
900,17.30,26,57.99,57.94,58.40,30.04,29.67,2546.56,90.11,9.89
910,16.57,25,58.48,58.49,58.40,30.41,29.67,2574.89,90.22,9.78
920,15.87,24,59.14,58.99,60.53,30.67,30.67,2604.04,90.00,10.00
930,14.87,24,59.77,59.69,60.53,31.04,30.67,2632.92,90.11,9.89
940,13.99,21,60.49,60.26,62.53,31.33,31.33,2664.87,90.00,10.00
950,13.18,20,61.07,60.84,63.17,31.67,31.67,2692.47,90.00,10.00
960,12.16,17,61.85,61.52,64.83,31.96,32.33,2721.84,89.90,10.10
970,11.33,16,62.54,62.13,66.20,32.26,33.00,2749.63,89.79,10.21
980,10.46,16,63.11,62.77,66.20,32.63,33.00,2777.45,89.90,10.10
990,9.76,14,63.75,63.24,68.33,32.85,34.33,2805.97,89.60,10.40
1000,8.70,10,64.50,63.93,69.63,33.15,35.00,2836.11,89.50,10.50

